"ArchivePath","Source","MB"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-average-speed\steered_l14_s2.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-average-speed\steered_l14_s2.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-average-speed\steered_l21_s0.5.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-average-speed\steered_l21_s0.5.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-average-speed\steered_l21_s1.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-average-speed\steered_l21_s1.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-average-speed\steered_l21_s2.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-average-speed\steered_l21_s2.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-average-speed\steered_l7_s0.5.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-average-speed\steered_l7_s0.5.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-average-speed\steered_l7_s1.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-average-speed\steered_l7_s1.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-average-speed\steered_l7_s2.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-average-speed\steered_l7_s2.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-discount-tax\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-discount-tax\baseline.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-discount-tax\prompt.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-discount-tax\prompt.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-discount-tax\steered_l14_s0.5.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-discount-tax\steered_l14_s0.5.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-discount-tax\steered_l14_s1.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-discount-tax\steered_l14_s1.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-discount-tax\steered_l14_s2.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-discount-tax\steered_l14_s2.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-discount-tax\steered_l21_s0.5.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-discount-tax\steered_l21_s0.5.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-discount-tax\steered_l21_s1.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-discount-tax\steered_l21_s1.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-discount-tax\steered_l21_s2.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-discount-tax\steered_l21_s2.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-discount-tax\steered_l7_s0.5.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-discount-tax\steered_l7_s0.5.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-discount-tax\steered_l7_s1.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-discount-tax\steered_l7_s1.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-discount-tax\steered_l7_s2.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-discount-tax\steered_l7_s2.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-inventory-available\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-inventory-available\baseline.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-inventory-available\prompt.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-inventory-available\prompt.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-inventory-available\steered_l14_s0.5.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-inventory-available\steered_l14_s0.5.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-inventory-available\steered_l14_s1.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-inventory-available\steered_l14_s1.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-inventory-available\steered_l14_s2.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-inventory-available\steered_l14_s2.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-inventory-available\steered_l21_s0.5.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-inventory-available\steered_l21_s0.5.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-inventory-available\steered_l21_s1.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-inventory-available\steered_l21_s1.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-inventory-available\steered_l21_s2.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-inventory-available\steered_l21_s2.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-inventory-available\steered_l7_s0.5.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-inventory-available\steered_l7_s0.5.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-inventory-available\steered_l7_s1.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-inventory-available\steered_l7_s1.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-inventory-available\steered_l7_s2.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-inventory-available\steered_l7_s2.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-linear-equation\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-linear-equation\baseline.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-linear-equation\prompt.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-linear-equation\prompt.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-linear-equation\steered_l14_s0.5.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-linear-equation\steered_l14_s0.5.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-linear-equation\steered_l14_s1.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-linear-equation\steered_l14_s1.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-linear-equation\steered_l14_s2.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-linear-equation\steered_l14_s2.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-linear-equation\steered_l21_s0.5.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-linear-equation\steered_l21_s0.5.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-linear-equation\steered_l21_s1.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-linear-equation\steered_l21_s1.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-linear-equation\steered_l21_s2.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-linear-equation\steered_l21_s2.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-linear-equation\steered_l7_s0.5.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-linear-equation\steered_l7_s0.5.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-linear-equation\steered_l7_s1.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-linear-equation\steered_l7_s1.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-linear-equation\steered_l7_s2.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-linear-equation\steered_l7_s2.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-printer-rate\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-printer-rate\baseline.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-printer-rate\prompt.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-printer-rate\prompt.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-printer-rate\steered_l14_s0.5.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-printer-rate\steered_l14_s0.5.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-printer-rate\steered_l14_s1.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-printer-rate\steered_l14_s1.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-printer-rate\steered_l14_s2.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-printer-rate\steered_l14_s2.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-printer-rate\steered_l21_s0.5.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-printer-rate\steered_l21_s0.5.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-printer-rate\steered_l21_s1.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-printer-rate\steered_l21_s1.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-printer-rate\steered_l21_s2.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-printer-rate\steered_l21_s2.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-printer-rate\steered_l7_s0.5.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-printer-rate\steered_l7_s0.5.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-printer-rate\steered_l7_s1.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-printer-rate\steered_l7_s1.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-printer-rate\steered_l7_s2.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-printer-rate\steered_l7_s2.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-probability-without-replacement\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-probability-without-replacement\baseline.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-probability-without-replacement\prompt.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-probability-without-replacement\prompt.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-probability-without-replacement\steered_l14_s0.5.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-probability-without-replacement\steered_l14_s0.5.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-probability-without-replacement\steered_l14_s1.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-probability-without-replacement\steered_l14_s1.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-probability-without-replacement\steered_l14_s2.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-probability-without-replacement\steered_l14_s2.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-probability-without-replacement\steered_l21_s0.5.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-probability-without-replacement\steered_l21_s0.5.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-probability-without-replacement\steered_l21_s1.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-probability-without-replacement\steered_l21_s1.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-probability-without-replacement\steered_l21_s2.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-probability-without-replacement\steered_l21_s2.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-probability-without-replacement\steered_l7_s0.5.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-probability-without-replacement\steered_l7_s0.5.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-probability-without-replacement\steered_l7_s1.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-probability-without-replacement\steered_l7_s1.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-probability-without-replacement\steered_l7_s2.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-probability-without-replacement\steered_l7_s2.response.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-ratio-mixture\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-ratio-mixture\baseline.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-ratio-mixture\prompt.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-ratio-mixture\prompt.txt","0"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-ratio-mixture\steered_l14_s0.5.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-ratio-mixture\steered_l14_s0.5.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-ratio-mixture\steered_l14_s1.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-ratio-mixture\steered_l14_s1.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-ratio-mixture\steered_l14_s2.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-ratio-mixture\steered_l14_s2.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-ratio-mixture\steered_l21_s0.5.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-ratio-mixture\steered_l21_s0.5.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-ratio-mixture\steered_l21_s1.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-ratio-mixture\steered_l21_s1.response.txt","0.001"
"small-model-memory-lab\runs\activation-steering-20260604-115247\compute-ratio-mixture\steered_l21_s2.response.txt","C:\Projects\small-model-memory-lab\runs\activation-steering-20260604-115247\compute-ratio-mixture\steered_l21_s2.response.txt","0.001"
